API_ID,Module,Endpoint,HTTP_Method,File_Path,Database_Connected,Tables_Used,UI_Component,UI_File_Path,Description,Status
1,Authentication,/api/auth/[...nextauth],POST/GET,app/api/auth/[...nextauth]/route.ts,YES,"users,accounts,sessions,verification_tokens",Login Page,app/auth/signin/page.tsx,NextAuth authentication handler,Active
2,Authentication,/api/auth/login,POST,app/api/auth/login/route.ts,YES,"users,audit_logs",Login Form,app/auth/signin/components/LoginForm.tsx,User login endpoint,Active
3,Authentication,/api/auth/me,GET,app/api/auth/me/route.ts,YES,"users,organizations",Header Navigation,components/layout/Header.tsx,Get current user info,Active
4,Authentication,/api/auth/sync-user,POST,app/api/auth/sync-user/route.ts,YES,users,N/A,N/A,Sync user data,Active
5,Authentication,/api/auth/register,POST,app/api/auth/register/route.ts,YES,"users,organizations",Registration Form,app/auth/register/page.tsx,User registration,Active
6,Analytics,/api/analytics/kpis/business,GET,app/api/analytics/kpis/business/route.ts,YES,"transactions,users,organizations",BusinessKpiDashboard,app/dashboard/components/BusinessKpiDashboard.tsx,Business KPI metrics,Active
7,Analytics,/api/analytics/forecast/sales,GET,app/api/analytics/forecast/sales/route.ts,YES,transactions,Sales Forecast Widget,app/dashboard/components/SalesForecastWidget.tsx,Sales forecasting with AI,Active
8,Analytics,/api/analytics/customer-analytics,GET,app/api/analytics/customer-analytics/route.ts,YES,"users,transactions,audit_logs",Customer Analytics Dashboard,app/analytics/customers/page.tsx,Customer behavior analysis,Active
9,Analytics,/api/analytics/financial-analytics,GET,app/api/analytics/financial-analytics/route.ts,YES,"transactions,invoices,payments",Financial Dashboard,app/analytics/financial/page.tsx,Financial metrics and trends,Active
10,Analytics,/api/analytics/ai-insights,POST,app/api/analytics/ai-insights/route.ts,YES,Multiple tables,AI Insights Panel,app/dashboard/components/AIInsightsPanel.tsx,AI-powered insights,Active
11,Analytics,/api/analytics/real-time,GET,app/api/analytics/real-time/route.ts,YES,"transactions,audit_logs",Real-time Dashboard,app/dashboard/components/RealTimeDashboard.tsx,Real-time analytics stream,Active
12,Analytics,/api/analytics/churn-prediction,POST,app/api/analytics/churn-prediction/route.ts,YES,"users,transactions",Churn Analysis,app/analytics/churn/page.tsx,Customer churn prediction,Active
13,Analytics,/api/analytics/lead-scoring,POST,app/api/analytics/lead-scoring/route.ts,YES,"contacts,deals",Lead Scoring Widget,app/crm/components/LeadScoreWidget.tsx,AI lead scoring,Active
14,Analytics,/api/analytics/anomaly-detection,POST,app/api/analytics/anomaly-detection/route.ts,YES,transactions,Anomaly Alerts,app/dashboard/components/AnomalyAlerts.tsx,Detect unusual patterns,Active
15,Analytics,/api/analytics/trend-analysis,GET,app/api/analytics/trend-analysis/route.ts,YES,transactions,Trend Charts,app/analytics/trends/page.tsx,Historical trend analysis,Active
16,Reports,/api/reports/templates,GET,app/api/reports/templates/route.ts,NO,N/A,Report Builder Step 1,app/reports/builder/components/ReportBuilderForm.tsx,List report templates,Active
17,Reports,/api/reports/preview,POST,app/api/reports/preview/route.ts,YES,Varies by template,Report Builder Step 4,app/reports/builder/components/ReportBuilderForm.tsx,Preview report before save,Active
18,Reports,/api/reports,GET,app/api/reports/route.ts,YES,custom_reports,Reports List,app/reports/page.tsx,List all saved reports,Active
19,Reports,/api/reports,POST,app/api/reports/route.ts,YES,custom_reports,Report Builder,app/reports/builder/page.tsx,Create new report,Active
20,Reports,/api/reports/[reportId]/execute,POST,app/api/reports/[reportId]/execute/route.ts,YES,Varies by report,Report Viewer,app/reports/[reportId]/components/ReportViewer.tsx,Execute saved report,Active
21,Reports,/api/reports/[reportId],GET,app/api/reports/[reportId]/route.ts,YES,custom_reports,Report Details,app/reports/[reportId]/page.tsx,Get report metadata,Active
22,Reports,/api/reports/[reportId],PUT,app/api/reports/[reportId]/route.ts,YES,custom_reports,Report Editor,app/reports/[reportId]/edit/page.tsx,Update report definition,Active
23,Reports,/api/reports/[reportId],DELETE,app/api/reports/[reportId]/route.ts,YES,custom_reports,Reports List,app/reports/page.tsx,Delete report,Active
24,Reports,/api/reports/export/[format],POST,app/api/reports/export/[format]/route.ts,YES,custom_reports,Report Viewer,app/reports/[reportId]/components/ReportViewer.tsx,Export report (PDF/Excel),Active
25,Finance,/api/finance/invoices,GET,app/api/finance/invoices/route.ts,YES,"invoices,invoice_line_items",Financial Hub,app/finance/hub/components/FinancialHubClient.tsx,List all invoices,Active
26,Finance,/api/finance/invoices,POST,app/api/finance/invoices/route.ts,YES,"invoices,invoice_line_items,deals",Invoice Creator,app/finance/invoices/create/page.tsx,Create new invoice,Active
27,Finance,/api/finance/invoices/[id],GET,app/api/finance/invoices/[id]/route.ts,YES,"invoices,invoice_line_items",Invoice Details,app/finance/invoices/[id]/page.tsx,Get invoice details,Active
